originalSentence,gistSlip,percentPrevalence
What is in the plan?,What is the plan?,7
He is one of three Eagles who will be held out of the game.,He is one of the three Eagles who will be held out of the game.,7
I guess the next time I'll see you is for Superbowl.,I guess the next time I'll see you is for the Superbowl.,5
This is a most fortunate news release.,This is the most fortunate news release.,4
Sorry for any inconvenience.,Sorry for the inconvenience.,3
They must not be distributed without our consent.,They must not be disturbed without our consent.,3
We talked quietly while everybody gathered.,We talked quietly while everyone gathered.,2
I don't know that I will be back Monday.,I don't know that I will be back on Monday.,2
We're on the way.,We're on our way.,1
This is the neatest toy I have had.,This is the neatest toy I have ever had.,0.7
This is the neatest toy I have had.,This is the neatest toy I have.,0.4
